RK,Player,Team,Pos,Height_cm,Weight,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1," Betts, M",BOS,RF,175.26,180,136,520,129,180,47,5,32,80,81,91,30,6,0.346,0.438,0.64,1.078
2," Martinez, J",BOS,LF,190.5,220,150,569,111,188,37,2,43,130,69,146,6,1,0.33,0.402,0.629,1.031
3," Yelich, C",MIL,LF,190.5,195,147,574,118,187,34,7,36,110,68,135,22,4,0.326,0.402,0.598,1
4," Altuve, J",HOU,2B,167.64,165,137,534,84,169,29,2,13,61,55,79,17,4,0.316,0.386,0.451,0.837
5," Trout, M",LAA,CF,187.96,235,140,471,101,147,24,4,39,79,122,124,24,2,0.312,0.46,0.628,1.088
6," Gennett, S",CIN,2B,154.94,185,154,584,86,181,30,3,23,92,42,125,4,2,0.31,0.357,0.49,0.847
7," Freeman, F",ATL,1B,195.58,220,162,618,94,191,44,4,23,98,76,132,10,3,0.309,0.388,0.505,0.892
8," Brantley, M",CLE,LF,187.96,200,143,570,89,176,36,2,17,76,48,60,12,3,0.309,0.364,0.468,0.832
9," Rendon, A",WSH,3B,185.42,200,136,529,88,163,44,2,24,92,55,82,2,1,0.308,0.374,0.535,0.909
10," Cain, L",MIL,CF,187.96,205,141,539,90,166,25,2,10,38,71,94,30,7,0.308,0.395,0.417,0.813
11," Zobrist, B",CHC,2B,190.5,210,139,455,67,139,28,3,9,58,55,60,3,4,0.305,0.378,0.44,0.817
12," Martinez, J",STL,1B,198.12,215,152,534,64,163,30,0,17,83,49,104,0,3,0.305,0.364,0.457,0.821
13," Merrifield, W",KC,2B,182.88,195,158,632,88,192,43,3,12,60,61,114,45,10,0.304,0.367,0.438,0.806
14," Segura, J",SEA,SS,154.94,205,144,586,91,178,29,3,10,63,32,69,20,11,0.304,0.341,0.415,0.755
15," Wendle, J",TB,2B,185.42,190,139,487,62,146,33,6,7,61,37,96,16,4,0.3,0.354,0.435,0.789
16," Dickerson, C",PIT,LF,185.42,210,135,504,65,151,35,7,13,55,21,80,8,3,0.3,0.33,0.474,0.804
17," Castellanos, N",DET,RF,193.04,203,157,620,88,185,46,5,23,89,49,151,2,1,0.298,0.354,0.5,0.854
18," Machado, M",LAD,SS,190.5,185,162,632,84,188,35,3,37,107,70,104,14,2,0.297,0.367,0.538,0.905
19," Markakis, N",ATL,RF,185.42,210,162,623,78,185,43,2,14,93,72,80,1,1,0.297,0.366,0.44,0.806
