Country,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brunei Darussalam,74960,0.081056564,0.068102988,0.109004803,0.076921025,0.070037353,0.078668623,0.076961046,0.068943436,0.081816969,0.066929029,0.081616862,0.139941302
Indonesia,3021429,0.087833936,0.07320311,0.08627838,0.077863157,0.075307082,0.110208117,0.087136583,0.072080794,0.074344954,0.074547838,0.074939375,0.106256675
Malaysia,1253992,0.069245258,0.067952587,0.08763772,0.078427135,0.072762027,0.090151293,0.07544785,0.082528437,0.085231804,0.082675966,0.093933614,0.114006309
Myanmar,145603,0.067876349,0.065891499,0.094757663,0.11277927,0.084290846,0.082470828,0.090581925,0.07388584,0.070122182,0.088418508,0.081351346,0.087573745
Philippines,778135,0.058067045,0.058189132,0.080800889,0.10168801,0.107509622,0.088586171,0.083220778,0.081677344,0.0735605,0.087668592,0.085494162,0.093537754
Thailand,545601,0.069910062,0.063353989,0.08749984,0.111827141,0.091365302,0.069849579,0.0978279,0.074136594,0.074376697,0.120448826,0.071105075,0.068298995
Vietnam,591600,0.060652468,0.072385057,0.06948783,0.082417174,0.089628127,0.117811021,0.134912103,0.101506085,0.073370521,0.069612914,0.064381339,0.063835362
Other Markets In Southeast Asia,109402,0.070620281,0.073901757,0.081982048,0.108526352,0.099394892,0.069514268,0.081177675,0.07211934,0.075272847,0.103297929,0.082603609,0.081589002
China,3416475,0.085236391,0.107308264,0.080456904,0.085210048,0.07750708,0.07086661,0.105669733,0.111257363,0.070196035,0.072490213,0.064409077,0.069392283
Hong Kong SAR,473113,0.062898293,0.077006973,0.088727217,0.087535113,0.076890722,0.080555808,0.110977716,0.119387969,0.07522093,0.073690641,0.06894336,0.078165259
Taiwan,422935,0.082535141,0.112946434,0.07199215,0.084909029,0.066336435,0.080679064,0.125284027,0.109778098,0.076411269,0.071722605,0.060545947,0.056859801
Other Markets In Greater China,29134,0.087732546,0.072149379,0.063087801,0.057492964,0.059209171,0.079391776,0.12953937,0.145500103,0.069300474,0.057458639,0.064632388,0.114505389
Japan,829664,0.077244523,0.082191104,0.100117638,0.060570303,0.064452598,0.064377869,0.08213566,0.121122527,0.092824324,0.089215634,0.088933592,0.076814228
South Korea,629451,0.119948971,0.084456137,0.078047378,0.070775962,0.074223411,0.072007194,0.091862591,0.099655096,0.075834338,0.085671482,0.080439939,0.067077501
Other Markets In North Asia,481,0.043659044,0.031185031,0.031185031,0.047817048,0.064449064,0.434511435,0.03950104,0.101871102,0.03950104,0.043659044,0.066528067,0.056133056
Bangladesh,126301,0.092762528,0.074401628,0.089017506,0.079833097,0.073958243,0.088360346,0.085367495,0.087156871,0.079761839,0.08870872,0.071250426,0.089421303
India,1442242,0.074929866,0.05671517,0.0731916,0.084748607,0.135945285,0.107431346,0.081676307,0.069851662,0.070895869,0.07903944,0.084116258,0.08145859
Pakistan,25326,0.081773671,0.051409619,0.094053542,0.074745321,0.058872305,0.100687041,0.151346442,0.099463002,0.071389086,0.064874042,0.057806207,0.09357972
Sri Lanka,113800,0.070817223,0.064288225,0.071186292,0.132926186,0.078031634,0.069455185,0.089481547,0.107768014,0.082970123,0.081827768,0.071151142,0.080096661
Other Markets In South Asia,37612,0.098612145,0.062772519,0.075800277,0.076970116,0.069685207,0.068648304,0.073753058,0.092497075,0.080559396,0.117595448,0.078086781,0.105019675
Iran,13937,0.120040181,0.127502332,0.356102461,0.067231111,0.039535051,0.058979694,0.066226591,0.06271077,0.039535051,0.016646337,0.024538997,0.020951424
Israel,22385,0.094616931,0.095510386,0.094482913,0.07929417,0.05753853,0.063703373,0.078445388,0.086263123,0.106276524,0.092606656,0.076122403,0.075139602
Kuwait,9794,0.119767204,0.057790484,0.063712477,0.052174801,0.028588932,0.0766796,0.166836839,0.239636512,0.039309781,0.037778232,0.038288748,0.07943639
Saudi Arabia,11929,0.106966217,0.043842736,0.075697879,0.052393327,0.037890854,0.09917009,0.143180485,0.140581776,0.067650264,0.058932014,0.06438092,0.109313438
United Arab Emirates,76263,0.061484599,0.056528067,0.114000236,0.081494303,0.063071214,0.065142992,0.123834625,0.137366744,0.067844171,0.067254107,0.074111955,0.087866987
Other Markets In West Asia,29341,0.098974132,0.058723288,0.092907536,0.066971133,0.047885212,0.082955591,0.139702123,0.139804369,0.061415766,0.06574418,0.052997512,0.091919157
Canada,129512,0.104098462,0.103758725,0.11053802,0.082270369,0.072224968,0.053771079,0.070896905,0.076340416,0.05921459,0.068897091,0.092894867,0.105094509
USA,643162,0.090165464,0.084333341,0.095392763,0.078445244,0.070807977,0.089664812,0.094497187,0.071930556,0.065885422,0.071897904,0.087341914,0.099637416
Other Markets In Americas,88938,0.115900965,0.094481549,0.109525737,0.095122445,0.080797859,0.061615957,0.077143628,0.051676449,0.067575165,0.079639749,0.08246194,0.084058558
Belgium & Luxembourg,34267,0.072431202,0.075612105,0.088394082,0.085738466,0.054688184,0.053841889,0.143053083,0.120874311,0.075466192,0.07791753,0.079580938,0.072402019
